tce_period,tce_duration,tce_depth,tce_model_snr,tce_bin_oedp_stat,tce_impact,tce_prad,av_training_set
0.752174,2.511,122.4,5.206,3.883e-07,0.04901,2.049,UNK
0.950029,3.034,265.7,9.245,0.05371,0.8989,3.433,AFP
0.95013,3.5,77.97,-1.0,0.0,0.1,1.636,AFP
1.89129,3.549,387.6,14.53,0.754,0.9086,1.433,AFP
4.0958,1.726,447.6,12.41,0.3786,0.8653,1.863,PC
7.55877,1.108,641.0,10.25,9.929,0.126,1.828,PC
42.5215,6.096,733.5,14.49,0.06652,0.8859,2.893,PC
9.47661,4.404,213.3,8.006,0.3816,0.5053,1.369,UNK
0.761739,1.458,47.42,8.696,0.097,0.8998,8.943,NTP
8.73486,4.357,280.0,23.06,0.05439,0.1269,1.601,PC
3.71839,3.642,71.94,8.252,0.04758,0.7468,0.8832,UNK
394.749,14.31,255.3,3.816,0.02675,0.4739,2.348,UNK
4.11492,3.12,174.7,11.11,1.727,0.79,1.351,PC
2.62987,6.399,122900.0,5352.0,0.0,0.6555,36.63,UNK
2.62986,4.058,102.8,22.53,4.606,0.01356,1.598,AFP
3.72882,5.602,52.22,9.54,0.003692,0.01543,1.139,NTP
2.33844,7.424,66.98,10.96,0.01085,0.1525,1.091,AFP
399.527,11.73,90.79,1.979,0.07562,0.5015,22.32,NTP
0.693353,1.909,24.05,12.01,0.07921,0.9,1.902,NTP
0.921289,2.059,26.76,10.24,8.546e-05,0.9625,2.159,UNK
3.07338,5.531,306.3,12.95,0.04225,0.9974,6.069,AFP
3.07309,7.645,464.7,14.77,0.09943,0.05758,4.126,AFP
0.601866,3.849,36.49,10.6,0.0008904,0.085,1.551,UNK
0.781821,1.245,145.8,14.0,0.273,0.9975,5.343,UNK
1.30242,2.63,48.88,9.492,0.9634,0.9729,1.327,UNK
10.2738,3.125,390.2,19.57,5.426,0.7,1.806,PC
1.38606,3.533,10.63,12.87,0.002477,0.3352,1.187,AFP
1.38635,5.069,10.61,10.28,0.3439,0.6466,1.23,AFP
5.68649,2.344,537.7,36.86,0.2161,0.7502,2.409,UNK
5.68643,2.251,574.7,41.47,0.002779,0.2835,2.315,UNK
1.35724,3.918,11.03,10.02,0.5484,0.8647,1.343,AFP
0.673128,1.815,125.8,9.384,0.00737,0.4981,0.9796,AFP
1.80016,5.861,38.52,9.928,0.01516,0.1002,0.9127,NTP
0.535446,1.483,12.27,4.49,0.1177,0.9352,0.6161,NTP
477.014,12.17,3948.0,8.524,0.6413,0.0009928,15.91,UNK
1.84362,4.566,125.9,20.31,0.5075,0.5015,1.283,AFP
1.39938,4.218,97.31,6.287,0.3494,0.7125,1.504,NTP
0.699673,2.5,760.0,-1.0,0.0,0.1,3.951,UNK
0.585522,1.83,103.4,8.546,0.06427,0.5209,1.543,UNK
14.9112,3.45,848.2,101.8,0.3874,0.8574,3.007,PC
3.00168,11.26,26.95,10.07,1.482,0.7103,0.5693,UNK
10.3188,2.911,738.0,34.9,0.8009,0.723,3.1,AFP
0.508855,1.5,616.5,-1.0,0.0,0.1,4.889,NTP
1.52327,3.246,441.0,34.63,0.3571,0.9006,36.7,AFP
